meter,above_rangeA,below_rangeA,above_rangeB,below_rangeB
R1-12-47-3_meter_1,0.0,1.0,0.0,1.0
R1-12-47-3_meter_10,0.0,1.0,0.0,1.0
R1-12-47-3_meter_11,0.0,1.0,0.0,1.0
R1-12-47-3_meter_12,0.0,1.0,0.0,1.0
R1-12-47-3_meter_13,0.0,1.0,0.0,1.0
R1-12-47-3_meter_14,0.0,1.0,0.0,1.0
R1-12-47-3_meter_15,0.0,1.0,0.0,1.0
R1-12-47-3_meter_16,0.0,1.0,0.0,1.0
R1-12-47-3_meter_17,0.0,1.0,0.0,1.0
R1-12-47-3_meter_18,1.055932708316e-311,1.0,1.055932707312e-311,1.0
R1-12-47-3_meter_19,0.0,1.0,0.0,1.0
R1-12-47-3_meter_2,0.0,1.0,0.0,1.0
R1-12-47-3_meter_20,0.0,1.0,0.0,1.0
R1-12-47-3_meter_21,1.05593248533e-311,3.442072460821298e+175,3.671432663072813e+228,1.0
R1-12-47-3_meter_22,0.0,0.0,0.0,-2.8248926086159e-310
R1-12-47-3_meter_3,0.0,1.0,0.0,1.0
R1-12-47-3_meter_4,0.0,1.0,0.0,1.0
R1-12-47-3_meter_5,0.0,1.0,0.0,1.0
R1-12-47-3_meter_6,0.0,1.0,0.0,1.0
R1-12-47-3_meter_7,0.0,1.0,0.0,1.0
R1-12-47-3_meter_8,0.0,1.0,0.0,1.0
R1-12-47-3_meter_9,0.0,1.0,0.0,1.0
R1-12-47-3_tm_1,0.0,0.0,0.0,0.0
