meter,above_rangeA,below_rangeA,above_rangeB,below_rangeB
meter_1,0.0,3.18727e-319,0.0,1.81132047468548e-307
meter_10,1.0,0.0,1.0,0.0
meter_100,1.0,0.0,2.0,0.0
meter_102,1.0,0.0,1.0,0.0
meter_103,1.0,0.0,1.0,0.0
meter_104,1.0,0.0,1.0,0.0
meter_106,1.0,0.0,1.0,0.0
meter_107,1.0,0.0,1.0,0.0
meter_109,1.0,0.0,1.0,0.0
meter_11,1.0,0.0,1.0,0.0
meter_111,1.0,0.0,1.0,0.0
meter_112,1.0,0.0,1.0,0.0
meter_113,1.0,0.0,1.0,0.0
meter_114,1.0,0.0,1.0,0.0
meter_12,1.0,0.0,1.0,0.0
meter_16,1.0,0.0,1.0,0.0
meter_17,1.0,0.0,1.0,0.0
meter_19,1.0,0.0,1.0,0.0
meter_2,1.0,0.0,1.0,0.0
meter_20,1.0,0.0,1.0,0.0
meter_22,3.671432663072813e+228,3.722993261524545e-27,1.043772282595e-312,0.0
meter_24,1.0,0.0,1.0,0.0
meter_28,0.0,0.0,0.0,0.0
meter_29,1.284701741673e-311,9.07680180117195e+223,9.750238243766643e+199,9.56127329118584e-308
meter_30,1.28471012271e-311,-1.0873576219067e-311,1.284710063746e-311,6e-323
meter_31,1.0,0.0,1.0,0.0
meter_32,1.0,0.0,1.0,0.0
meter_33,1.0,0.0,1.0,0.0
meter_34,1.0,0.0,1.0,0.0
meter_35,0.0,0.0,0.0,0.0
meter_37,1.0,0.0,1.0,0.0
meter_38,1.0,0.0,1.0,0.0
meter_39,1.0,0.0,1.0,0.0
meter_4,1.0,0.0,1.0,0.0
meter_41,1.0,0.0,1.0,0.0
meter_42,1.284710125864e-311,-3.803517123659e-311,1.284705601179e-311,6e-323
meter_43,1.0,0.0,1.0,0.0
meter_45,1.0,0.0,1.0,0.0
meter_46,1.0,9.832566788541496e-72,1.0,0.0
meter_47,0.0,0.0,0.0,0.0
meter_48,0.0,0.0,0.0,0.0
meter_49,0.0,0.0,0.0,0.0
meter_5,1.0,0.0,1.0,0.0
meter_50,0.0,0.0,0.0,0.0
meter_51,0.0,0.0,0.0,0.0
meter_52,0.0,0.0,0.0,0.0
meter_53,0.0,0.0,0.0,0.0
meter_55,0.0,0.0,0.0,0.0
meter_56,0.0,0.0,0.0,0.0
meter_58,1.0,0.0,1.0,0.0
meter_59,1.0,0.0,1.0,0.0
meter_6,1.0,0.0,1.0,1.0964526673394829e-71
meter_60,0.0,0.0,0.0,0.0
meter_62,0.0,0.0,0.0,0.0
meter_63,0.0,0.0,0.0,0.0
meter_64,0.0,0.0,0.0,0.0
meter_65,0.0,0.0,0.0,0.0
meter_66,0.0,0.0,0.0,0.0
meter_6701,1.0,0.0,2.0,0.0
meter_68,1.0,0.0,1.0,0.0
meter_69,1.0,0.0,1.0,0.0
meter_7,0.0,0.0,0.0,0.0
meter_70,1.0,0.0,1.0,0.0
meter_71,1.0,0.0,1.0,0.0
meter_73,1.0,0.0,1.0,0.0
meter_74,1.0,0.0,1.0,0.0
meter_75,1.0,0.0,1.0,0.0
meter_76,1.0,0.0,2.0,0.0
meter_77,1.0,0.0,2.0,0.0
meter_79,1.0,0.0,2.0,0.0
meter_80,1.0,0.0,2.0,0.0
meter_82,1.0,0.0,2.0,0.0
meter_83,1.0,0.0,2.0,0.0
meter_84,1.0,0.0,1.0,0.0
meter_85,1.0,0.0,1.0,0.0
meter_86,1.0,0.0,2.0,0.0
meter_87,1.0,0.0,2.0,0.0
meter_88,1.0,0.0,1.0,0.0
meter_9,1.0,0.0,1.0,0.0
meter_90,1.0,0.0,1.0,0.0
meter_92,1.0,0.0,1.0,0.0
meter_94,1.0,0.0,1.0,0.0
meter_95,1.0,0.0,2.0,0.0
meter_96,1.0,0.0,1.0,0.0
meter_98,1.0,0.0,2.0,0.0
meter_99,1.0,0.0,2.0,0.0
